,name,phone,principal,grades,division
787,Harrington Waddell Elementary,540-463-5353,Mrs. Lisa Clark,KG-5,Lexington Public Schools
788,Harrison Road Elementary,540-548-4864,Ms. Deborah H. Frazier,PK-5,Spotsylvania County Public Schools
789,Harrisonburg High,540-433-2652,Mr. Tracy Shaver,9-12,Harrisonburg Public Schools
790,Harrowgate Elementary,804-520-6015,Patrice Wilson,PK-5,Chesterfield County Public Schools
791,Harry E. James Elementary,804-541-6408,Mrs. Sandra B. Morton,KG-5,Hopewell Public Schools
792,Harry F. Byrd Middle,804-750-2630,Dr. Gwen E. Miller,6-8,Henrico County Public Schools
793,Hartwood Elementary,540-752-4441,Mr. Scott S. Elchenko,PK-5,Stafford County Public Schools
794,Harvie Elementary,804-343-7010,Dr. Pam B. Bell,KG-5,Henrico County Public Schools
795,Haycock Elementary,703-531-4000,Ms. Kelly L. Sheers,PK-6,Fairfax County Public Schools
796,Hayfield Elementary,703-924-4500, ,PK-6,Fairfax County Public Schools
797,Hayfield Secondary,703-924-7400,Mr. David Tremaine,7-12,Fairfax County Public Schools
798,Haysi High,276-865-5126,Mr. John Randall Whitner,8-12,Dickenson County Public Schools
799,HB Woodlawn Secondary Program,703-228-6363,Mr. Frank Haltiwanger,,Arlington County Public Schools
800,Henderson Middle,804-780-8288,Mr. Jonathan Mitchum,6-8,Richmond Public Schools
801,Henrico High,804-228-2700,Dr. Herbert T. Monroe,9-12,Henrico County Public Schools
802,Henry Clay Elementary,804-365-8120,Ms. Teresa M. Keck,PK-2,Hanover County Public Schools
803,Henry D. Ward Elementary,804-795-7030,Mr. Bryan Almasian,PK-5,Henrico County Public Schools
804,Henry Elementary,703-228-5820,Dr. Lisa Piehota,PK-5,Arlington County Public Schools
805,Henry Elementary,540-483-5676,Mrs. Robin Whitmer,PK-5,Franklin County Public Schools
806,Herbert J. Saunders Middle,703-670-9188,Ms. Myca Gray,6-8,Prince William County Public Schools
807,Heritage Elementary,434-582-1130,Mrs. Sharon S. Anderson,PK-5,Lynchburg Public Schools
808,Heritage High,571-252-2800,Jeffrey Adam,PK-12,Loudoun County Public Schools
809,Heritage High,434-582-1147,Mr. Timothy T. Beatty,9-12,Lynchburg Public Schools
810,Heritage High,757-928-6100,Mr. Michael Nichols,9-12,Newport News Public Schools
811,Herman L. Horn Elementary,540-857-5007,Ms. Susan Brown,PK-5,Roanoke County Public Schools
812,Hermitage Elementary,757-648-2600,Mrs. Holly J. Coggin,PK-5,Virginia Beach Public Schools
813,Hermitage High,804-756-3000,Mr. Andrew R. Armstrong,9-12,Henrico County Public Schools
814,Hermitage Tech. Ctr.,804-756-3020,Ms. Terrie W. Allsbrooks,,Henrico County Public Schools
815,Herndon Elementary,703-326-3100,Ms. Ann M Gwynn,PK-6,Fairfax County Public Schools
816,Herndon High,703-810-2200,Mr. Willliam L. Bates,9-12,Fairfax County Public Schools
817,Herndon Middle,703-904-4800,Ms. Justine Klena,7-8,Fairfax County Public Schools
818,Hickory Elementary,757-421-7080,Mrs. Kimberly C. Pinello,PK-5,Chesapeake Public Schools
819,Hickory High,757-421-4295,Mrs. Alfredia C. Turner,9-12,Chesapeake Public Schools
820,Hickory Middle,757-421-0468,Dr. Deborah T. Hutchens,6-8,Chesapeake Public Schools
821,Hidden Valley High,540-776-7320,Ms. Rhonda Stegall,9-12,Roanoke County Public Schools
822,Hidden Valley Middle,540-772-7570,Mr. Mike Riley,6-8,Roanoke County Public Schools
823,Hidenwood Elementary,757-591-4766,Mr. Jonathan Hochman,PK-5,Newport News Public Schools
824,High Point Elementary,276-642-5600,Mrs. Sherry King,PK-5,Washington County Public Schools
825,Highland Elementary,540-468-6360,Ms. Teresa Kay Blum,PK-5,Highland County Public Schools
826,Highland High,540-468-6320,April Goff,6-12,Highland County Public Schools
827,Highland Park Elementary,540-853-2963,Dr. Mark Crummey,PK-5,Roanoke Public Schools
828,Highland Springs Elementary,804-328-4045,Ms. Shawnya S. Tolliver,PK-5,Henrico County Public Schools
829,Highland Springs High,804-328-4000,Ms. Tinkhani U. Hargrove,9-12,Henrico County Public Schools
830,Highland Springs Technical Center,804-328-4075,Mr. William J. Crowder Jr.,,Henrico County Public Schools
831,Highland View Elementary,276-821-5710,Mrs. Pam Smith,PK-5,Bristol Public Schools
832,Hilda J. Barbour Elementary,540-622-8090,Ms. Joanne B. Waters,KG-5,Warren County Public Schools
833,Hillpoint Elementary,757-925-6750,Mr. Ronald Leigh,PK-5,Suffolk Public Schools
834,Hillsboro Elementary,540-751-2560,Mr. David Michener,PK-5,Loudoun County Public Schools
835,Hillside Elementary,571-252-2170,Garett Brazina,PK-5,Loudoun County Public Schools
836,Hillsville Elementary School,276-728-7312,Mrs. Elizabeth S. Motley,PK-5,Carroll County Public Schools
837,Hilton Elementary,757-591-4772,Ms. Barbara Nagel,PK-5,Newport News Public Schools
838,Hilton Elementary,276-386-7430,Mrs. Kelsey K. Taylor,KG-6,Scott County Public Schools
839,Hodges Manor Elementary,757-465-2921,Ms. Faye S. Felton,KG-6,Portsmouth Public Schools
840,Hoffman-Boston Elementary,703-228-5845,Ms. Kimberley Graves,PK-5,Arlington County Public Schools
841,Holland Elementary,757-648-2460,Dr. Callie M. Richardson,PK-5,Virginia Beach Public Schools<a/>td>
842,Hollin Meadows Elementary,703-718-8300,Mr. Jon Gates,PK-6,Fairfax County Public Schools
843,Hollymead Elementary,434-973-8301,Ms. Nancy Teel,PK-5,Albemarle County Public Schools
844,Holman Middle,804-346-1300,Dr. Brian P. Fellows,6-8,Henrico County Public Schools
845,Holmes Middle,703-658-5900,Mr. Roberto Pamas,6-8,Fairfax County Public Schools
846,Holston High,276-739-4000,Mrs. Kendra Honaker,9-12,Washington County Public Schools
847,"Home-Based Speced School</strong>, ", ,,Salem Public Schools,
848,"Homebound Speced School</strong>, ", ,,Salem Public Schools,
849,Homer L. Hines Middle,757-591-4878,Dr. Amanda Corbin-Staton,6-8,Newport News Public Schools
850,Honaker Elementary,276-873-6301,Mr. Gary E. Hess,PK-7,Russell County Public Schools
851,Honaker High,276-873-6363,Mr. Anthony L Bush,8-12,Russell County Public Schools
852,Hopewell High,804-541-6402,Dr. Rodney L. Berry,9-12,Hopewell Public Schools
853,Hopewell ISAEP Center,804-541-6402, ,,Hopewell Public Schools
854,Hopkins Road Elementary,804-743-3665,Dr. Lisa Hill,PK-5,Chesterfield County Public Schools
855,Horace H. Epes Elementary,757-886-7755,Ms. Camisha Davis,PK-5,Newport News Public Schools
856,Horizon Elementary,571-434-3260,Jennifer Ewing,PK-5,Loudoun County Public Schools
857,Huddleston Elementary,540-297-5144,Aprille A Monroe,PK-5,Bedford County Public Schools
858,Hugh Mercer Elementary,540-372-1115,Mrs. Marjorie R. Tankersley,KG-2,Fredericksburg Public Schools
859,Hughes Middle,703-715-3600,Ms. Aimee Monticchio,7-8,Fairfax County Public Schools
860,Hugo A. Owens Middle,757-558-5382,Mrs. Amber N. Dortch,6-8,Chesapeake Public Schools
861,Huguenot High,804-320-7967,Jafar Barakat,9-12,Richmond Public Schools
862,Hungary Creek Middle,804-527-2640,Mr. Robert J. Moose,6-8,Henrico County Public Schools
863,Hunt Valley Elementary,703-913-8800,Mr. David M. Fee,PK-6,Fairfax County Public Schools
864,Hunter B. Andrews,757-268-3333,Mr. Jeffery A. Blowe,PK-8,Hampton Public Schools
865,Hunters Woods Elementary School for the Arts and Sciences,703-262-7400,Ms. Emily S Cope,PK-6,Fairfax County Public Schools
866,Huntington Middle,757-928-6846,Ms. Cleo Holloway,6-8,Newport News Public Schools
867,Hurley Elementary/Middle,276-566-8523,Ms. Della Tester,PK-7,Buchanan County Public Schools
868,Hurley High,276-566-7642,Pam Dotson,8-12,Buchanan County Public Schools
869,Hurt Park Elementary,540-853-2986,Ms. Theresa Kabath,PK-5,Roanoke Public Schools
870,Hutchison Elementary,703-925-8300,Ms. Judy Baldwin,PK-6,Fairfax County Public Schools
871,Hutchison Farm Elementary,703-957-4350,Mrs. Heidi E. Smith,PK-5,Loudoun County Public Schools
872,Hybla Valley Elementary,703-718-7000,Ms. Lauren Sheehy,PK-6,Fairfax County Public Schools
873,I.C. Norcom High,757-393-5442,Dr. Rosalynn L Sanderlin,9-12,Portsmouth Public Schools
874,Independence Elementary,276-773-2722,Mrs. Susan Mitchell,KG-5,Grayson County Public Schools
875,Independence Middle,276-773-3020,Mr. Jamey Hale,6-7,Grayson County Public Schools
876,Independence Middle,757-648-4600,Mr. Carey Manugo,6-8,Virginia Beach Public Schools
877,Independence Secondary,540-381-6100,Mr. Larry Lowe,,Montgomery County Public Schools
878,Independent Hill,703-791-8150,Ms. Jodi Pankowski,,Prince William County Public Schools
879,Indian Hollow Elementary,540-877-2283,Ms. Deanna M. Lock,KG-5,Frederick County Public Schools
880,Indian Lakes Elementary,757-648-2680,Jennifer Born,PK-5,Virginia Beach Public Schools
881,Indian River High,757-578-7000,Mr. James L. Frye,9-12,Chesapeake Public Schools
882,Indian River Middle,757-578-7030,Mrs. Naomi R. Dunbar,6-8,Chesapeake Public Schools
883,Indian Valley Elementary,540-745-9420,Mr. Chris D Hewitt,PK-7,Floyd County Public Schools
884,Ingleside Elementary,757-892-3270,Ms. Dwana White,PK-5,Norfolk Public Schools
885,Interagency Alternative Secondary Center,571-423-3360,Ms. Shannon Matheny,,Fairfax County Public Schools
886,Irving Middle,703-912-4500,Mr. Danny Little,7-8,Fairfax County Public Schools
887,ISEAP Program,804-652-3717, ,,Henrico County Public Schools
888,Island Creek Elementary,571-642-6300,Mr. Michael G. Macrina,PK-6,Fairfax County Public Schools
889,J. Blaine Blayton Elementary,757-565-9300,Paula Huffman,PK-5,Williamsburg-James City County Public Schools
890,J. Frank Hillyard Middle,540-896-8961,Mr. David Baker,6-8,Rockingham County Public Schools
891,J. Lupton Simpson Middle,571-252-2840,Mr. Chad A. Runfola,6-8,Loudoun County Public Schools
892,J. Michael Lunsford Middle,703-722-2660,Neil Slevin,6-8,Loudoun County Public Schools
893,J.A. Chalkley Elementary,804-674-1300,Myla Burgess,PK-5,Chesterfield County Public Schools
894,J.B. Fisher Elementary,804-327-5612,Mrs. Charlene S. Brooks,PK-5,Richmond Public Schools
895,J.B. Watkins Elementary,804-378-2530,Dr. Marlene Scott,PK-5,Chesterfield County Public Schools
896,J.E.B. Stuart Elementary,804-862-7013,Ms. Dominique Bourgeios,PK-5,Petersburg Public Schools
897,J.E.B. Stuart Elementary,804-780-4879,Mrs. Jennifer K. Moore,PK-5,Richmond Public Schools
898,J.E.J. Moore Middle,804-733-2740,Mr. Willie Elliott,6-7,Prince George County Public Schools
899,J.G. Hening Elementary,804-743-3655,Deia Champ,PK-5,Chesterfield County Public Schools
900,J.I. Burton High,276-679-2554,Mr. Aaron Williams,8-12,Norton Public Schools
901,J.L. Francis Elementary,804-745-3702,Mrs. Daisy D. Greene,PK-5,Richmond Public Schools
902,J.M. Bevins Elementary,276-259-7202,Mr. Jeremy Ratliff,PK-5,Buchanan County Public Schools
903,J.M. Dozier Middle,757-888-3300,Ms. Lisa Gatz,6-8,Newport News Public Schools
904,J.W. Adams Combined,276-796-5419,Rick Bolling,PK-8,Wise County Public Schools
905,J.W. Alvey Elementary,571-261-2556,Candace Ann Rotruck,PK-5,Prince William County Public Schools
906,Jack Jouett Middle,434-975-9320,Ms. Kathryn Baylor,6-8,Albemarle County Public Schools
907,Jackson Davis Elementary,804-527-4620,Ms. Christine H. Stallings,PK-5,Henrico County Public Schools
908,Jackson Memorial Elementary,276-699-0160,Mrs. Tammy J. Watson,PK-5,Wythe County Public Schools
909,Jackson Middle,703-204-8100, ,7-8,Fairfax County Public Schools
910,Jackson P. Burley Middle,434-295-5101,Jim Asher,6-8,Albemarle County Public Schools
911,Jackson-Via Elementary,434-245-2416,Dr. Tracie A. Daniels,PK-4,Charlottesville Public Schools
912,Jacob L. Adams Elementary,804-226-8745,Dr. William R. Hall,PK-5,Henrico County Public Schools
913,Jacobs Road Elementary,804-674-1320,Eileen Traveline,PK-5,Chesterfield County Public Schools
914,Jacox Elementary School,757-628-2433,Dr. Sherri Archer,PK-5,Norfolk Public Schools
915,James G. Brumfield Elementary,540-347-6180,Julie Gagnon,PK-5,Fauquier County Public Schools
916,James Hurst Elementary,757-558-2811,Mrs. Evelyn L. Whitley,KG-6,Portsmouth Public Schools
917,James K. Polk Elementary,703-461-4180,Mrs. PreAnn Johnson,KG-5,Alexandria Public Schools
918,James Madison Middle,540-853-2351,Ms. Stephanie Hogan,6-8,Roanoke Public Schools
919,James Monroe Elementary,757-628-3500,Ms. Celeste Jones,PK-5,Norfolk Public Schools
920,James Monroe High,540-372-1100,Dr. John B. Gordon III,9-12,Fredericksburg Public Schools
921,James River Elementary,757-887-1768,Stacia Barreau,KG-5,Williamsburg-James City County Public Schools
922,James River High,540-254-1121,Mr. James M. Talbott Jr.,9-12,Botetourt County Public Schools
923,James River High,804-378-2420,Jeffery Ellick,9-12,Chesterfield County Public Schools
924,James S. Russell Middle,434-848-2132,Dr. Mark A. Harrison Sr.,6-8,Brunswick County Public Schools
925,James Wood High,540-667-5226,Mr. Joseph M. Salyer,9-12,Frederick County Public Schools
926,James Wood Middle,540-667-7500,Mr. Grant C. Javersak,6-8,Frederick County Public Schools
927,Jamestown Elementary,703-228-5275,Ms. Kenwyn Schaffner,PK-5,Arlington County Public Schools
928,Jamestown High,757-259-3600,Cathy Worley,9-12,Williamsburg-James City County Public Schools
929,Jane H. Bryan Elementary,757-727-1056,Mr. Michael W. Stutt,PK-5,Hampton Public Schools
930,Jefferson Davis Middle,757-825-4520,Ms. Elizabeth A. Winebarger,6-8,Hampton Public Schools
931,Jefferson Forest High,434-525-2674,Mr. Anthony H. Francis,9-12,Bedford County Public Schools
932,Jefferson Middle,703-228-5900,Ms. Keisha Boggan,6-8,Arlington County Public Schools
933,Jefferson-Houston Elementary,703-706-4400,Rosalyn Rice-Harris,PK-8,Alexandria Public Schools
934,Jennie Dean Elementary,571-377-6300,Dr. Robin Toogood II,PK-4,Manassas Public Schools
935,Jeter-Watson Intermediate,540-965-1430,Mr. Marc W. Smith,4-7,Covington Public Schools
936,JM Langston Focus School,434-799-5249,Ms. Jocelyn Fitzgerald,9-12,Danville Public Schools
937,John Adams Elementary,703-824-6970,Lakisha Covert,PK-5,Alexandria Public Schools
938,John B. Cary Elementary,757-850-5092,Ms. Heidi R. Brezinski,PK-5,Hampton Public Schools
939,John B. Cary Elementary,804-780-6252,Ms. Brenda Phillips,PK-5,Richmond Public Schools
940,John B. Dey Elementary,757-648-2440,Elizabeth Bianchi,PK-5,Virginia Beach Public Schools
941,John C. Myers Elementary,540-896-2297,Mrs. Rebecca Roadcap,PK-5,Rockingham County Public Schools
942,John Champe High School,703-722-2680,John Gabriel,9-12,Loudoun County Public Schools
943,John F. Kennedy Middle,757-934-6212,Ms. Vivian P. Covington,6-8,Suffolk Public Schools
944,John F. Pattie Sr. Elementary,703-670-3173,Ms. Margaret Otterblad,PK-5,Prince William County Public Schools
945,John Handley High,540-662-3471,Dr. Jesse Dingle,9-12,Winchester Public Schools
946,John J. Wright Educational And Cultural Center,540-834-2556,Terecia R. Gill,,Spotsylvania County Public Schools
947,John Kerr Elementary,540-662-3945,Dr. Nan Bryant,KG-4,Winchester Public Schools
948,John L. Hurt Elementary,434-324-7231,Mrs. Vickie S. Murphy,PK-5,Pittsylvania County Public Schools
949,John M. Gandy Elementary,804-365-4640,Ms. Leigh D. Finch,3-5,Hanover County Public Schools
950,John Marshall Early Childhood Center,757-928-6832,Ms. Vanessa Keller,PK,Newport News Public Schools
951,John Marshall High,804-780-6052,Mrs. Beverly Britt,9-12,Richmond Public Schools
952,John N. Dalton Intermediate,540-731-3651,Mr. Gregory Payne,7-8,Radford Public Schools
953,John Randolph Tucker High,804-527-4600,Dr. Robert C. Lowerre,9-12,Henrico County Public Schools
954,John Redd Smith Elementary,276-647-7676,Mr. Benjamin D Boone,3-5,Henry County Public Schools
955,John Rolfe Middle,804-226-8730,Mr. Michael A. Jackson,6-8,Henrico County Public Schools
956,John S. Battle High,276-642-5300,Mr. Jeff Hawkins,9-12,Washington County Public Schools
957,John Tyler Elementary,757-727-1075,Ms. Adriane V Bradley-Gray,PK-5,Hampton Public Schools
958,John Tyler Elementary,757-393-8879,Dr. Jamill Jones,KG-6,Portsmouth Public Schools
959,John W. Tolbert Jr. Elementary,571-252-2870,Ms. Elaine Layman,PK-5,Loudoun County Public Schools
960,John W. Wayland Elementary,540-828-6081,Dr. David W. Burchfield,PK-5,Rockingham County Public Schools
961,John Yeates Middle,757-923-4105,Mr. Daniel O'Leary,6-8,Suffolk Public Schools
962,Johnson Elementary,434-245-2417,Mr. Peter Stern,PK-4,Charlottesville Public Schools
963,Johnson-Williams Middle,540-955-6160,Mr. Evan Robb,6-8,Clarke County Public Schools
964,Jolliff Middle,757-465-5246,Quentin E. Hicks,6-8,Chesapeake Public Schools
965,Jonesville Middle,276-346-1011,Dr. Lynn B. Metcalfe,6-8,Lee County Public Schools
966,Joseph B. Johnson Learning Center,571-377-7250, ,,Manassas Public Schools
967,Joseph H. Saunders Elementary,757-591-4781,Mr. Timothy Edwards,PK-5,Newport News Public Schools
968,Joseph P. King Jr. Middle,757-562-4631,Ms. Lisa Francis,6-8,Franklin Public Schools
969,Joseph T. Henley Middle,434-823-4393,Mr. Patrick McLaughlin,6-8,Albemarle County Public Schools
970,Joseph Van Pelt Elementary,276-821-5770,Mr. Steven Bonney,PK-5,Bristol Public Schools
971,Jouett Elementary,540-872-3931,Mike Pelloni,PK-5,Louisa County Public Schools
972,Kate Collins Middle,540-946-4635,Janet Buchheit,6-8,Waynesboro Public Schools
973,Kate Waller Barrett Elementary,540-658-6464,Ms. Kimberly J. Austin,PK-5,Stafford County Public Schools
974,Kecoughtan High,757-850-5000,Mr. Raymond L. Haynes,9-12,Hampton Public Schools
975,Keene Mill Elementary,703-644-4700,Ms. Renee C. Miller,PK-6,Fairfax County Public Schools
976,Kegotank Elementary,757-824-4756,Mrs. Jennifer Annis,PK-5,Accomack County Public Schools
977,Keister Elementary,540-434-6585,Mrs. Anne L. B. Lintner,KG-4,Harrisonburg Public Schools
978,Kemps Landing Magnet,757-648-4650,Charles Foster,6-8,Virginia Beach Public Schools
979,Kempsville Elementary,757-648-2720,Lori Hasher,PK-5,Virginia Beach Public Schools
980,Kempsville High,757-648-5450,Mr. William W. Harris,9-12,Virginia Beach Public Schools
981,Kempsville Meadows Elementary,757-474-8435,Mr. Douglas S. Daughtry,PK-5,Virginia Beach Public Schools
982,Kempsville Middle,757-648-4700,Ms. Patti Jenkins,6-8,Virginia Beach Public Schools
983,Kenbridge Elementary,434-676-2491,Mr. John Long,PK-5,Lunenburg County Public Schools
984,Kenmore Middle,703-228-6800,Dr. John A. Word,6-8,Arlington County Public Schools
985,Kenneth W.Culbert Elementary,540-751-2540,Mrs. Jacquelyn L. Brownell,PK-5,Loudoun County Public Schools
